objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Town Fiesta.jpg,,,Mahanub Youth Choir ,Zach Heinrich Papeleras,2021-08-28,"Mahanub Youth Choir group photo with Rev. Fr. Nic Penados, DCS during the Gigaquit Annual Town Fiesta Celebration 2021",Town Fiesta; choirs (music),"Ipil, Gigaquit, Surigao del Norte, Philippines",,,Zach Heinrich Papeleras,SVG001,Image;StillImage,image/jpg,eng,CC BY-NC-ND,https://creativecommons.org/about/cclicenses/
coll002,Christmas 2021.jpg,,,Mahanub Youth Choir ,Zach Heinrich Papeleras,2021-12-25,"Mahanub Youth Choir Group photo with Rev. Fr. Reynaldo Floresca, DCS after the Christmas Eve Mass 2021",Mass (Liturgy); choir,"Mahanub, Gigaquit, Surigao del Norte, Philippines",,,Zach Heinrich Papeleras,SVG002,Image;StillImage,image/jpg,eng,CC BY-NC-ND,https://creativecommons.org/about/cclicenses/
coll003,Gumapac Fam.jpg,,,Gumapac Family,Glenn Gumapac,2021-12-25,Gumapac Family Gathering in celebration of Christmas 2021,Family,"Mahanub, Gigaquit, Surigao del Norte, Philippines",,,Glenn Gumapac,SVG003,Image;StillImage,image/jpg,eng,CC BY-NC-ND,https://creativecommons.org/about/cclicenses/
coll004,Advent Youth Recollection 2021.jpg,,,Advent Youth Recollection 2021 ,Geoffrey Gatela,2021-11-27,"Saint Augustine Parish Youth Apostolate Advent Youth Recollection 2021 with Rev. Fr. Reynaldo Floresca, DCS",Youth Ministry,"Ipil, Gigaquit, Surigao del Norte, Philippines",,,https://www.facebook.com/104091138438782/posts/266938248820736/,SVG004,Image;StillImage,image/jpg,eng,CC BY-NC-ND,https://creativecommons.org/about/cclicenses/
coll005,Mahanub Youth Ministry.jpg,,,Mahanub Youth Ministry Officers,Geoffrey Gatela,2021-11-27,"Shot during the Advent Youth Recollection 2021 with Rev. Fr. Reynaldo Floresca, DCS.",Youth Ministry,"Ipil, Gigaquit, Surigao del Norte, Philippines",,,https://www.facebook.com/104091138438782/posts/266938248820736/,SVG005,Image;StillImage,image/jpg,eng,CC BY-NC-ND,https://creativecommons.org/about/cclicenses/
coll006,Lenten Recollection.jpg,,,Joint Youth Choir Lenten Recollection 2022,Zach Heinrich Papeleras,2022-03-19,"Shot during the Joint Youth Choir Lenten Recollection 2022 with our speaker Sr. Cristeta Pias, SSps.",Lenten Recollection; Choirs (music),"Mahanub, Gigaquit, Surigao del Norte, Philippines",,,Zach Heinrich Papeleras,SVG006,Image;StillImage,image/jpeg,eng,CC BY-NC-ND,https://creativecommons.org/about/cclicenses/
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
